time,open,high,low,close,volume
2021-01-07 07:00:00,212.203693636,212.203693636,212.024223332,212.024223332,403
2021-01-07 07:05:00,212.203693636,212.472899092,212.024223332,212.472899092,2533
2021-01-07 07:10:00,212.42304623,212.42304623,211.675253295,211.675253295,1283
2021-01-07 07:15:00,211.605459288,211.994311614,211.605459288,211.994311614,763
2021-01-07 07:25:00,212.123929056,212.123929056,212.123929056,212.123929056,726
2021-01-07 07:45:00,212.672310541,213.061162867,212.672310541,213.061162867,495
2021-01-07 07:55:00,212.672310541,212.672310541,212.642398824,212.642398824,859
2021-01-07 08:00:00,212.413075657,212.413075657,212.413075657,212.413075657,128
2021-01-07 08:05:00,213.250603744,213.250603744,213.250603744,213.250603744,469
2021-01-07 08:10:00,212.273487643,212.273487643,212.273487643,212.273487643,579
2021-01-07 08:15:00,212.293428788,212.293428788,212.293428788,212.293428788,327
2021-01-07 08:20:00,212.173781918,212.562634244,212.173781918,212.562634244,1107
2021-01-07 08:25:00,212.403105085,212.403105085,212.403105085,212.403105085,129
2021-01-07 08:30:00,212.38316394,212.871721991,212.38316394,212.871721991,2878
2021-01-07 08:35:00,212.442987375,212.442987375,212.442987375,212.442987375,833
2021-01-07 08:40:00,212.433016802,212.433016802,212.38316394,212.38316394,379
2021-01-07 08:45:00,212.442987375,212.572604817,212.442987375,212.572604817,817
2021-01-07 08:50:00,212.572604817,212.572604817,212.193723063,212.193723063,993
2021-01-07 08:55:00,212.193723063,213.011310005,212.193723063,213.011310005,990
2021-01-07 09:05:00,212.702222259,212.722163404,212.702222259,212.722163404,232
2021-01-07 09:15:00,212.772016266,212.772016266,212.772016266,212.772016266,382
2021-01-07 09:25:00,212.921574853,212.971427715,212.921574853,212.971427715,476
2021-01-07 09:30:00,212.203693636,212.203693636,211.376136122,211.376136122,7959
2021-01-07 09:35:00,211.575547571,213.086089298,211.575547571,213.061162867,424275
2021-01-07 09:40:00,213.081104012,213.462478409,212.742104549,213.061162867,133359
2021-01-07 09:45:00,213.101045157,213.729191222,213.041221722,213.67933836,121987
2021-01-07 09:50:00,213.704264791,213.848838091,213.180809737,213.320397751,99145
2021-01-07 09:55:00,213.330368324,213.385206472,212.42304623,212.46292852,104545
2021-01-07 10:00:00,212.46292852,213.459985766,212.094017339,213.420103476,135224
2021-01-07 10:05:00,213.55969149,214.317454997,213.310427179,214.28754328,159883
2021-01-07 10:10:00,214.267602135,214.367307859,213.85890837,214.16789641,109548
2021-01-07 10:15:00,214.152940551,214.546778164,214.018437529,214.038278968,98087
2021-01-07 10:20:00,214.073175972,214.217749272,213.978455533,214.108072975,60996
2021-01-07 10:25:00,214.08813183,214.367307859,213.988426106,214.217749272,81171
2021-01-07 10:30:00,214.227719845,214.397219577,213.938573244,214.327425569,103015
2021-01-07 10:35:00,214.317454997,214.322440283,213.838867519,213.838867519,52214
2021-01-07 10:40:00,213.848838091,214.16789641,213.789014657,213.988426106,78002
2021-01-07 10:45:00,213.978455533,214.078161258,213.908661526,213.918632099,56916
2021-01-07 10:50:00,213.937975009,214.272587421,213.838867519,214.267602135,63463
2021-01-07 10:55:00,214.257631562,214.387249004,213.848838091,213.868779236,55061
2021-01-07 11:00:00,213.888720381,214.237690417,213.789014657,214.118043548,53449
2021-01-07 11:05:00,214.118043548,214.24766099,213.898690954,213.928602671,73060
2021-01-07 11:10:00,213.928602671,214.12801412,213.898690954,214.083146544,43760
2021-01-07 11:15:00,214.058220113,214.118043548,213.798985229,213.918632099,40602
2021-01-07 11:20:00,213.948543816,213.958514389,213.734176508,213.878749809,36811
2021-01-07 11:25:00,213.918632099,214.177866983,213.898690954,214.108072975,36954
2021-01-07 11:30:00,214.118043548,214.24766099,213.828896947,213.858808664,41812
2021-01-07 11:35:00,213.858808664,214.081351841,213.744147081,213.744147081,34989
2021-01-07 11:40:00,213.754915299,213.908661526,213.659397215,213.803970515,41277
2021-01-07 11:45:00,213.808955802,213.958514389,213.715830655,213.923617385,29761
2021-01-07 11:50:00,213.908661526,213.948543816,213.669367787,213.67933836,37447
2021-01-07 11:55:00,213.669367787,213.699279505,213.300456606,213.400162331,41486
2021-01-07 12:00:00,213.380221186,213.436255803,213.220692027,213.395177045,37615
2021-01-07 12:05:00,213.360280041,213.459985766,213.170839164,213.190780309,30676
2021-01-07 12:10:00,213.191079426,213.236644943,213.091074585,213.150399491,24974
2021-01-07 12:15:00,213.170839164,213.214410566,212.931545425,213.021280577,30456
2021-01-07 12:20:00,213.041221722,213.106030443,212.752075121,212.752075121,62297
2021-01-07 12:25:00,212.722163404,212.91160428,212.652369396,212.884484323,42395
2021-01-07 12:30:00,212.891663135,212.931545425,212.682281114,212.801927983,34918
2021-01-07 12:35:00,212.821869128,213.046506126,212.732133976,212.732133976,43986
2021-01-07 12:40:00,212.732133976,212.924566025,212.542693099,212.901633708,61345
2021-01-07 12:45:00,212.921574853,213.120986302,212.881692563,213.120986302,34104
2021-01-07 12:50:00,213.120986302,213.280515461,213.051192295,213.11101573,53586
2021-01-07 12:55:00,213.106030443,213.360280041,213.041221722,213.180809737,38520
2021-01-07 13:00:00,213.130956874,213.440044621,213.061162867,213.315412465,51462
2021-01-07 13:05:00,213.315412465,213.63945607,213.315412465,213.509838628,52174
2021-01-07 13:10:00,213.506249222,213.515123031,213.036236436,213.036236436,34439
2021-01-07 13:15:00,213.03125115,213.285500748,213.03125115,213.260574316,45497
2021-01-07 13:20:00,213.280515461,213.469956338,213.280515461,213.390191758,57575
2021-01-07 13:25:00,213.410132903,213.42000377,213.130956874,213.235647885,23231
2021-01-07 13:30:00,213.235647885,213.318503342,213.120986302,213.240633171,59626
2021-01-07 13:35:00,213.275530175,213.459985766,213.270544889,213.380221186,62067
2021-01-07 13:40:00,213.380221186,213.589603208,213.380221186,213.589603208,57763
2021-01-07 13:45:00,213.549720918,213.67933836,213.539750345,213.644441356,33818
2021-01-07 13:50:00,213.659397215,213.709250077,213.489897483,213.554706204,27011
2021-01-07 13:55:00,213.589603208,213.689308932,213.47992691,213.47992691,48619
2021-01-07 14:00:00,213.47992691,213.789014657,213.459985766,213.789014657,36819
2021-01-07 14:05:00,213.769073512,213.938573244,213.569662063,213.938573244,49541
2021-01-07 14:10:00,213.933587957,213.998396678,213.67933836,213.779044084,59461
2021-01-07 14:15:00,213.769073512,213.789014657,213.549720918,213.759102939,57882
2021-01-07 14:20:00,213.769073512,214.08813183,213.702270676,214.058220113,55468
2021-01-07 14:25:00,214.048249541,214.16789641,213.948543816,213.978455533,38392
2021-01-07 14:30:00,213.948543816,214.018337823,213.669367787,213.928602671,42786
2021-01-07 14:35:00,213.958514389,214.078161258,213.689608049,214.078161258,53821
2021-01-07 14:40:00,214.073175972,214.337396142,214.058220113,214.337396142,49300
2021-01-07 14:45:00,214.317454997,214.387249004,214.217749272,214.322440283,56955
2021-01-07 14:50:00,214.322440283,214.347366714,214.08813183,214.147955265,46519
2021-01-07 14:55:00,214.187837555,214.237690417,214.068190686,214.12801412,49606
2021-01-07 15:00:00,214.12801412,214.297513852,214.102389749,214.237690417,57058
2021-01-07 15:05:00,214.25324451,214.367307859,214.227719845,214.337396142,70544
2021-01-07 15:10:00,214.327425569,214.586660453,214.232705131,214.232705131,74413
2021-01-07 15:15:00,214.257631562,214.28754328,213.928602671,213.988426106,48221
2021-01-07 15:20:00,214.008367251,214.018337823,213.818926374,213.948543816,53551
2021-01-07 15:25:00,213.918632099,214.038278968,213.858808664,214.008367251,53349
2021-01-07 15:30:00,213.998396678,214.038278968,213.838867519,213.94355853,83016
2021-01-07 15:35:00,213.94355853,213.94355853,213.649426642,213.71922065,117743
2021-01-07 15:40:00,213.744147081,213.948543816,213.67933836,213.818926374,75174
2021-01-07 15:45:00,213.808955802,214.08813183,213.724205936,214.08813183,90903
2021-01-07 15:50:00,214.078161258,214.078161258,213.908661526,213.94355853,104056
2021-01-07 15:55:00,213.928602671,213.94355853,213.539750345,213.684323646,186228
2021-01-07 16:00:00,213.694294218,213.694294218,213.011310005,213.061162867,663338
2021-01-07 16:05:00,213.180809737,213.410132903,212.42304623,212.971427715,2355314
2021-01-07 16:10:00,212.971427715,213.051192295,212.971427715,213.051192295,384
2021-01-07 16:15:00,213.138135687,213.180809737,213.138135687,213.180809737,5790
2021-01-07 16:25:00,213.180809737,213.180809737,213.180809737,213.180809737,1928
2021-01-07 16:30:00,213.051192295,213.051192295,213.051192295,213.051192295,200
2021-01-07 16:35:00,213.057872578,213.057872578,213.057872578,213.057872578,252
2021-01-07 17:25:00,213.07113344,213.07113344,213.07113344,213.07113344,100
2021-01-07 18:30:00,213.220692027,213.220692027,213.220692027,213.220692027,517
2021-01-07 18:50:00,213.360280041,213.360280041,213.360280041,213.360280041,556
2021-01-07 19:40:00,213.569662063,213.569662063,213.569662063,213.569662063,1000
2021-01-08 07:20:00,214.038278968,214.038278968,214.038278968,214.038278968,200
2021-01-08 07:25:00,213.978455533,213.978455533,213.978455533,213.978455533,130
2021-01-08 07:30:00,213.878749809,213.878749809,213.868779236,213.868779236,1391
2021-01-08 07:35:00,213.569662063,213.579632635,213.569662063,213.579632635,613
2021-01-08 07:40:00,213.589603208,213.589603208,213.589603208,213.589603208,256
2021-01-08 08:05:00,213.59957378,213.59957378,213.509838628,213.509838628,425
2021-01-08 08:10:00,214.26142038,214.26142038,213.67933836,213.67933836,398
2021-01-08 08:35:00,213.63945607,213.63945607,213.390191758,213.390191758,1053
2021-01-08 08:40:00,213.440044621,213.440044621,213.440044621,213.440044621,251
2021-01-08 08:50:00,213.5198092,213.5198092,213.5198092,213.5198092,309
2021-01-08 08:55:00,213.589603208,213.589603208,213.589603208,213.589603208,310
2021-01-08 09:20:00,214.008367251,214.008367251,213.998396678,213.998396678,219
2021-01-08 09:25:00,213.868779236,213.868779236,213.619514925,213.619514925,1536
2021-01-08 09:30:00,213.619514925,214.277572707,212.95148657,212.95148657,8804
2021-01-08 09:35:00,213.539750345,215.164953656,213.091074585,215.110115507,454030
2021-01-08 09:40:00,215.154983084,215.484011975,214.955571634,215.184894801,102641
2021-01-08 09:45:00,215.194865373,215.454100257,214.819772437,214.965542207,73562
2021-01-08 09:50:00,214.960556921,215.164953656,214.636513316,214.65226682,59951
2021-01-08 09:55:00,214.641498602,214.835924765,214.417160722,214.526837019,50185
2021-01-08 10:00:00,214.556748736,214.825954192,214.367307859,214.726248468,61295
2021-01-08 10:05:00,214.726248468,215.324482815,214.656454461,215.194865373,84724
2021-01-08 10:10:00,215.214806518,215.364365105,214.696436456,214.696436456,79725
2021-01-08 10:15:00,214.756160185,214.796042475,214.327425569,214.327425569,76158
2021-01-08 10:20:00,214.342381428,214.422146008,213.803970515,213.918632099,65437
