,open,high,low,close,volume
2008-03-19,14.87500,17.25000,13.75000,14.12500,708486000
2008-03-20,14.60000,16.25000,14.37500,16.08750,198985200
2008-03-24,16.81000,16.92500,14.75000,14.93250,149566400
2008-03-25,15.14500,16.06250,14.95500,15.81250,87092000
2008-03-26,15.68250,16.12000,15.39250,15.99000,43111600
2008-03-27,16.01250,16.18500,15.66250,15.72750,39829600
2008-03-28,15.84250,15.86000,15.54000,15.69000,24675200
2008-03-31,15.65000,15.87000,15.51250,15.59000,22157200
2008-04-01,15.76500,15.92000,15.07750,15.40250,60410800
2008-04-02,15.43000,15.58000,15.12500,15.58000,43836400
2008-04-03,15.48750,16.57250,15.45500,16.37500,100868000
2008-04-04,16.22500,16.33000,15.93750,16.12000,36394400
2008-04-07,16.27500,16.45000,16.00500,16.26000,28301600
2008-04-08,16.22500,17.06000,16.20250,17.02250,53925600
2008-04-09,17.11000,17.18000,16.40250,16.44750,48324400
2008-04-10,16.54000,16.68250,16.27750,16.52750,22372000
2008-04-11,16.31250,16.69250,16.31250,16.52750,26421600
2008-04-14,16.67500,16.81000,16.38250,16.42000,28443600
2008-04-15,16.57250,16.63750,16.00000,16.08750,23888000
2008-04-16,16.14000,16.73750,16.14000,16.53500,25136800
2008-04-17,16.56500,16.93750,16.50250,16.76000,22459600
2008-04-18,17.00250,17.61250,16.80000,17.25000,104099600
2008-04-21,17.37000,18.12500,17.21250,17.74250,58848000
2008-04-22,17.98000,18.10000,17.50000,17.57000,47357600
2008-04-23,17.73750,17.92500,17.42250,17.52000,37319600
2008-04-24,17.80000,18.24750,17.51000,18.07500,38086800
2008-04-25,19.00000,19.02000,18.47750,18.77500,101460000
2008-04-28,19.12500,19.32250,18.72500,18.90750,132517200
2008-04-29,18.53750,20.22000,17.75000,20.22000,197308400
2008-04-30,20.35000,21.20250,20.26750,20.86250,147543600
2008-05-01,21.09750,21.91000,20.97500,21.35000,116395600
2008-05-02,21.82250,21.87500,20.25000,20.68750,136648800
2008-05-05,20.71250,21.37500,20.20500,21.26500,70377200
2008-05-06,21.36750,22.03750,21.18750,21.88250,75913200
2008-05-07,22.20750,22.46000,21.91500,22.12500,100464800
2008-05-08,22.37500,22.43750,21.48500,21.82500,92836400
2008-05-09,21.45250,21.66750,20.63000,20.71500,94312000
2008-05-12,20.91250,21.12000,19.52500,20.47500,147471600
2008-05-13,20.45750,20.87500,20.19750,20.59500,53249600
2008-05-14,20.82500,21.08750,20.36250,20.55750,51400400
2008-05-15,20.63250,20.73250,20.27750,20.56250,36688800
2008-05-16,20.67750,20.71250,20.31500,20.59250,34066800
2008-05-19,20.56750,21.18500,20.53750,20.83000,45473200
2008-05-20,20.72000,20.96000,20.47750,20.68500,40702000
2008-05-21,20.67000,20.85750,20.13000,20.21250,41831600
2008-05-22,20.14250,20.15000,19.04000,19.32750,85283600
2008-05-23,18.96000,19.32750,18.78000,19.08750,42196400
2008-05-27,19.23000,19.73500,18.59000,19.68500,62776400
2008-05-28,20.07250,20.48750,19.88750,20.48000,52996000
2008-05-29,20.85750,21.73750,20.75250,21.31250,100613200
2008-05-30,21.50500,21.89000,21.45250,21.59000,72016000
2008-06-02,21.55250,21.73750,21.15000,21.51750,36856000
2008-06-03,21.75250,21.98750,21.50750,21.89000,48411600
2008-06-04,21.77000,22.02500,21.32000,21.37000,40684400
2008-06-05,21.61500,21.81000,21.39750,21.81000,27059600
2008-06-06,21.47500,21.49750,20.88750,20.91250,41748000
2008-06-09,21.00000,21.23750,20.14000,20.53500,45240000
2008-06-10,20.07500,20.71750,19.90250,20.07750,36048400
2008-06-11,20.25000,20.25000,19.40000,19.43500,56996400
2008-06-12,19.73750,20.19250,19.63750,19.89000,44605600
2008-06-13,20.06500,20.45250,20.03750,20.38250,30689200
2008-06-16,20.37000,20.87500,20.27500,20.81750,34384000
2008-06-17,21.02500,21.24500,20.92000,21.16750,33277600
2008-06-18,20.93000,21.17500,20.86000,20.96500,33724000
2008-06-19,20.87000,21.10000,20.40500,21.06750,36925200
2008-06-20,20.74250,21.12500,20.68750,20.89250,42546800
2008-06-23,20.96250,21.08750,20.25500,20.26500,30141200
2008-06-24,20.01500,20.73500,19.62750,20.66500,49891200
2008-06-25,20.84000,21.10500,20.46500,20.51500,50711600
2008-06-26,20.15000,20.18500,19.50500,19.77500,76562800
2008-06-27,19.70000,20.71750,19.63750,20.65000,176022800
2008-06-30,20.50250,20.71000,20.07500,20.32750,49301200
2008-07-01,19.91000,20.35250,19.80000,20.35250,44921600
2008-07-02,20.47500,20.60000,19.82500,19.85500,33804000
2008-07-03,19.84000,19.95250,19.31250,19.51750,28738800
2008-07-07,19.62500,19.98500,18.50000,18.90500,79944400
2008-07-08,18.72250,19.87500,18.06250,19.76500,95796400
2008-07-09,19.75000,19.77500,18.85000,18.96750,55322000
2008-07-10,18.94000,19.40500,18.47250,19.31250,52812000
2008-07-11,18.90000,19.36250,18.50000,18.63750,54645200
2008-07-14,19.02250,19.04500,18.12500,18.14500,42679600
2008-07-15,17.81500,17.82750,16.82250,17.10500,84268800
2008-07-16,17.08250,18.14000,16.62750,18.05750,92448800
2008-07-17,18.42500,18.76500,17.83750,18.76500,67268800
2008-07-18,18.56000,18.62250,18.03000,18.35000,46632000
2008-07-21,18.47750,18.73500,17.89250,17.97500,52937200
2008-07-22,17.40000,18.55750,16.97500,18.51250,65408000
2008-07-23,18.37500,18.75000,18.15000,18.31250,49942800
2008-07-24,18.23000,18.43250,17.49000,17.52000,36625600
2008-07-25,17.63500,18.08750,17.26750,17.99000,38690800
2008-07-28,18.10250,18.40000,17.56250,17.63750,35699200
2008-07-29,17.75750,18.99250,17.75250,18.99250,49040400
2008-07-30,19.31250,19.72500,18.56750,19.61250,76089200
2008-07-31,19.05500,19.53750,17.87250,18.26500,148888800
2008-08-01,18.32500,18.52500,17.58750,17.93250,61715600
2008-08-04,17.94000,18.40000,17.87500,18.12500,42686000
2008-08-05,18.30000,18.55750,18.08000,18.40000,34354800
2008-08-06,18.20000,18.20250,17.76750,17.87000,40924000
2008-08-07,17.69500,17.81250,17.33500,17.37500,43847200
2008-08-08,17.44250,18.21250,17.27750,18.15000,36354400
2008-08-11,18.11000,19.12500,17.98750,18.69750,55289200
2008-08-12,18.55000,18.70000,18.15000,18.20000,33734400
2008-08-13,18.18750,18.54250,18.12000,18.48250,29924800
2008-08-14,18.46750,18.94750,18.40000,18.94500,25839200
2008-08-15,18.99750,19.13250,18.70750,18.94750,26003200
2008-08-18,18.90500,19.06250,18.53500,18.73500,25850400
2008-08-19,18.61250,18.81000,18.40250,18.43500,21104800
2008-08-20,18.52500,18.67750,18.41500,18.64250,18118800
2008-08-21,18.49000,18.66000,18.29750,18.59500,15544800
2008-08-22,18.84000,18.94750,18.46000,18.52250,20955600
2008-08-25,18.38000,18.72250,18.28250,18.33000,18039600
2008-08-26,18.41750,18.57500,18.21750,18.33500,18667200
2008-08-27,18.25750,18.62500,18.21250,18.61250,19141600
2008-08-28,18.68750,18.95250,18.54250,18.91250,26741200
2008-08-29,18.74000,19.00000,18.67500,18.97500,19326400
2008-09-02,19.20750,19.37500,18.59750,18.74750,29898400
2008-09-03,18.64000,18.83500,18.01750,18.26250,35400800
2008-09-04,18.13000,18.15750,17.43750,17.62500,37670000
2008-09-05,17.49250,17.99500,17.31250,17.94000,40616800
2008-09-08,18.37750,18.57250,17.17000,17.52500,56669600
2008-09-09,17.58750,17.58750,16.79500,16.87250,49882000
2008-09-10,16.81750,17.47500,16.65750,17.26000,43936800
2008-09-11,16.85250,17.84000,16.76250,17.73750,47132000
2008-09-12,17.48250,17.91500,17.31250,17.91250,28240400
2008-09-15,17.16500,17.74500,17.06500,17.34500,38734400
2008-09-16,16.65500,17.24000,16.25000,16.58750,83596400
2008-09-17,16.45250,16.98750,16.00250,16.02250,67536800
2008-09-18,16.05000,16.81000,14.59500,16.72500,84189200
2008-09-19,17.75250,17.79000,16.76000,17.39250,68941600
2008-09-22,17.23000,17.24750,16.22500,16.29500,46266400
2008-09-23,16.46250,16.86750,16.02750,16.72500,43803600
