strategy,ticker,timeframe,roi_monthly_average,roi_monthly_max,roi_monthly_min,sharpe,dd_max,dd_maxlength,total_return
SimpleStrategy,BTC,1D,7.486148308813606,46.15023839058349,-13.802957859239687,0.5061357069256752,40.28425984177252,400.0,1082.7519082330307
SimpleStrategy,ETH,1D,8.82807430662457,56.643436116131085,-24.995188753528407,0.5066924873097304,40.63037105155088,229.0,1741.6822646481753
TestStrategy,BTC,1D,6.585994058524679,46.05925183904881,-15.251466585918157,0.4767939830137321,31.370350104204604,315.0,778.7919895906456
TestStrategy,ETH,1D,7.338261713728489,45.76229439307273,-16.461792331904686,0.4724070497061711,40.3799734687024,229.0,1026.41640739111
BuyAndHold_1,BTC,1D,5.438391359602541,45.589703846793874,-43.476968983437075,0.3518040639848916,62.02146699437152,485.0,501.74835
BuyAndHold_1,ETH,1D,7.3738002840147585,57.760884148584566,-56.382071626806066,0.3895150450254588,68.12420901105945,400.0,1039.70448
