dd_max,dd_maxlength,roi_monthly_average,roi_monthly_max,roi_monthly_min,sharpe,strategy,ticker,timeframe,total_return
34.55801438577611,653.0,1.9420714587031418,29.046024491383726,-15.088056425597063,0.2813932710580072,SimpleStrategy,AAPL,1day,10270.50473122714
14.923418404521318,399.0,,,,0.5502333204734803,SimpleStrategy,AAPL,4h,144.74949156828313
14.246882586894202,438.0,,,,0.5403556703626891,SimpleStrategy,AAPL,2h,135.72033406640782
18.636874983410557,1599.0,,,,0.52532691602785,SimpleStrategy,AAPL,1h,160.45164581892445
14.248964670769139,1468.0,,,,0.5603356600502266,SimpleStrategy,AAPL,30min,83.83619703512242
14.32803503783865,3407.0,,,,0.22198458412619565,SimpleStrategy,AAPL,15min,11.496005789420362
4.39352110391988,3049.0,,,,0.8123221830216313,SimpleStrategy,AAPL,5min,2.064836893317144
3.587864005557396,2168.0,-0.5600675726958848,-0.5600675726958848,-0.5600675726958848,,SimpleStrategy,AAPL,1min,-0.5585021181638585
44.30146363721968,3494.0,0.2704629926773927,21.3197712691627,-13.566266933219337,0.06212292042296169,SimpleStrategy,MSFT,1day,90.86697863680008
22.522707147774803,529.0,,,,0.14266416069020307,SimpleStrategy,MSFT,4h,19.51363575238228
15.515575474664,968.0,,,,0.2800641090187888,SimpleStrategy,MSFT,2h,37.29606329554529
13.535644570375087,950.0,,,,0.2786890171476817,SimpleStrategy,MSFT,1h,42.25474242649702
11.271809796891263,1656.0,,,,0.35521649106493985,SimpleStrategy,MSFT,30min,31.543684719221023
9.27012186511556,2855.0,,,,0.22683659403103335,SimpleStrategy,MSFT,15min,6.599780020391205
4.454026896664014,2213.0,,,,0.699864491077977,SimpleStrategy,MSFT,5min,6.0470844892190945
2.8876040961564344,1551.0,-0.253959559980244,-0.253959559980244,-0.253959559980244,,SimpleStrategy,MSFT,1min,-0.25363735550378624
45.8830579314353,4193.0,-0.020034029585510812,11.234936824163155,-20.046673074100035,-0.010454905663571672,SimpleStrategy,WMT,1day,-4.675309850063685
28.726907506830656,924.0,,,,-0.22018606031617555,SimpleStrategy,WMT,4h,-22.668165115353972
16.027966072249402,916.0,,,,0.06594939594446562,SimpleStrategy,WMT,2h,6.832177333916815
12.737042341876567,2007.0,,,,0.06322602825856409,SimpleStrategy,WMT,1h,7.959924412505191
13.57014293030756,2969.0,,,,0.15332125404336078,SimpleStrategy,WMT,30min,11.736637529858898
13.761195220537951,4563.0,,,,-0.3836114696441164,SimpleStrategy,WMT,15min,-9.01084364502439
8.249821180729468,4893.0,,,,-1.1117416215456501,SimpleStrategy,WMT,5min,-6.295535610890307
2.644083612553333,1942.0,-0.2607087530477994,-0.2607087530477994,-0.2607087530477994,,SimpleStrategy,WMT,1min,-0.2603692029212834
46.83255952543715,1737.0,0.31365554133361134,12.13792610944951,-17.24118033419561,0.07089075609752042,SimpleStrategy,NKE,1day,111.62311428619572
17.162043372283215,296.0,,,,0.22505725467924229,SimpleStrategy,NKE,4h,30.583418580460773
18.517622863268514,384.0,,,,0.27875352624712507,SimpleStrategy,NKE,2h,41.87062205480825
13.224546069729218,1457.0,,,,0.4221569292081549,SimpleStrategy,NKE,1h,76.63496590466632
16.42938722636855,726.0,,,,0.729212951994887,SimpleStrategy,NKE,30min,106.83371942923094
8.34490505686703,815.0,,,,1.032867887556768,SimpleStrategy,NKE,15min,36.644329753414375
7.859244611330733,4081.0,,,,0.45423376187133013,SimpleStrategy,NKE,5min,7.7787285980388114
1.7117682430031396,2276.0,0.6520269705934518,0.6520269705934518,0.6520269705934518,,SimpleStrategy,NKE,1min,0.6541572940229089
41.77606724008884,950.0,1.0056497255086687,25.37875637984015,-18.594369926470964,0.18891452608821327,SimpleStrategy,SBUX,1day,1006.1856553264004
18.965717218097723,466.0,,,,0.08617403518988627,SimpleStrategy,SBUX,4h,10.160642627144844
20.578893404619098,1266.0,,,,0.023824049561124005,SimpleStrategy,SBUX,2h,1.7728282268567273
20.52005508089976,3525.0,,,,0.18083525091564695,SimpleStrategy,SBUX,1h,29.629159404111313
15.374949411629737,2118.0,,,,0.08036636856570024,SimpleStrategy,SBUX,30min,6.76616264368649
10.98277447219743,1894.0,,,,0.15303813922843143,SimpleStrategy,SBUX,15min,6.54562106606683
4.948052888935392,2026.0,,,,0.47523329017754484,SimpleStrategy,SBUX,5min,7.140133003857031
4.559285141677078,1959.0,3.0448333835043093,3.0448333835043093,3.0448333835043093,,SimpleStrategy,SBUX,1min,3.0916625164383875
52.09696455419001,630.0,2.899150229586947,57.82796759504686,-30.364161191457633,0.24761740605353494,SimpleStrategy,TSLA,1day,4766.019319474997
44.88859398403104,259.0,,,,0.5038905287448856,SimpleStrategy,TSLA,4h,652.6485228902153
24.147451492138853,417.0,,,,0.5565753047478198,SimpleStrategy,TSLA,2h,825.2386264508772
33.11279643331107,985.0,,,,0.4097142459215157,SimpleStrategy,TSLA,1h,395.12947002780436
27.822443868313304,990.0,,,,0.7543945533962743,SimpleStrategy,TSLA,30min,681.4342186653139
23.64338828471385,2602.0,,,,0.3646818085947175,SimpleStrategy,TSLA,15min,34.929856232571595
10.445840904068795,2921.0,,,,0.362291526890386,SimpleStrategy,TSLA,5min,5.6542142639290836
3.8219960212478905,2440.0,1.6956677418499828,1.6956677418499828,1.6956677418499828,,SimpleStrategy,TSLA,1min,1.7101257918615593
85.4698920320923,1802.0,1.2595433596574377,281.999311139669,-186.20915665330864,0.0736127294869187,SimpleStrategy,GME,1day,1805.5036724214417
