dd_max;dd_maxlength;final_value;roi_monthly_average;roi_monthly_max;roi_monthly_min;sharpe;strategy;ticker;timeframe;total_return
17.952812742495993;137.0;382591.0024762791;2.4848080628738605;19.293949985244183;-8.606249745831747;0.4071487587819115;SimpleStrategy;AAPL;1D;282.59100247627913
24.945374374711083;16917.0;82293.23485111089;;;;-0.6467372502741238;SimpleStrategy;MSFT;5m;-17.70676514888911
30.088030915769107;5638.0;80704.1343512823;;;;-0.21499640275091186;SimpleStrategy;WMT;1H;-19.295865648717708
19.572851634070194;10034.0;99631.2727677043;;;;-0.021597707379655266;SimpleStrategy;WMT;15m;-0.36872723229569965
15.202419680673824;14472.0;88329.56849686839;;;;-1.091920862115414;SimpleStrategy;WMT;5m;-11.670431503131608
25.304978136730742;186.0;138951.5634870628;0.6091763375796665;12.033037637249668;-13.172734761160616;0.12269443866708607;SimpleStrategy;NKE;1D;38.95156348706281
8.739714759604952;1334.0;122187.22282098123;;;;0.4934822698944878;SimpleStrategy;NKE;15m;22.18722282098123
15.521333328847689;346.0;216498.68200831368;1.4303968031750147;13.518242788373454;-7.498532637771162;0.3181807363109201;SimpleStrategy;SBUX;1D;116.49868200831368
23.68844929535295;3619.0;109521.2622976683;;;;0.10978205190986952;SimpleStrategy;SBUX;1H;9.521262297668306
10.727318809724796;2836.0;121818.0589754949;;;;0.4015902449756405;SimpleStrategy;SBUX;15m;21.818058975494903
46.94091344825662;630.0;892609.4167708812;4.053664659209563;55.31607244142308;-14.942240025784534;0.31951778362743105;SimpleStrategy;TSLA;1D;792.6094167708811
29.828367093609074;860.0;1042838.4736517741;;;;0.7016297162974927;SimpleStrategy;TSLA;1H;942.838473651774
37.266313181819626;7562.0;126028.28433813102;;;;0.17878577526831718;SimpleStrategy;TSLA;15m;26.028284338131026
33.31348008966365;21744.0;86838.65465584683;;;;-0.268624505834383;SimpleStrategy;TSLA;5m;-13.161345344153174
85.46989161465136;864.0;551031.2699376147;3.1604099496342055;281.999311139669;-186.20915665330864;0.14143369188364607;SimpleStrategy;GME;1D;451.03126993761464
76.71213707312594;1219.0;5696304.2827435555;;;;0.3201132599462914;SimpleStrategy;GME;1H;5596.304282743556
91.54446528114751;6538.0;284454.3177859414;;;;0.32118277709476023;SimpleStrategy;GME;15m;184.4543177859414
82.80112348548766;17900.0;173011.8990124134;;;;0.31041225330469546;SimpleStrategy;GME;5m;73.0118990124134
71.93852908427344;584.0;519900.58177872526;3.0527174415210925;145.84979563813138;-87.04328913022103;0.17167238550101752;SimpleStrategy;AMC;1D;419.9005817787252
77.04191065634832;2602.0;2331612.4252953255;;;;0.42013132963298505;SimpleStrategy;AMC;1H;2231.6124252953255
31.894416177592646;785.0;102824.3466452208;0.0515777297448459;12.645879160609327;-9.382216803090722;0.020670862369300873;SimpleStrategy;C;1D;2.824346645220794
17.229700216917923;5255.0;104920.17788654215;;;;0.07329624495846783;SimpleStrategy;C;15m;4.9201778865421515
11.875267857360793;9145.0;94727.60509262081;;;;-0.17367790653434298;SimpleStrategy;C;5m;-5.272394907379188
18.104503352515515;343.0;139147.94385779146;0.6117917137600914;8.884005878635863;-9.36042522096399;0.14198322725979037;SimpleStrategy;V;1D;39.147943857791454
20.287371464090942;3697.0;113308.21798446907;;;;0.1058249163604838;SimpleStrategy;V;1H;13.308217984469069
10.616035621915474;4555.0;104059.84021023531;;;;0.07554305979119783;SimpleStrategy;V;15m;4.059840210235314
8.347699872332964;9170.0;103090.83174336018;;;;0.12085874753948167;SimpleStrategy;V;5m;3.090831743360177
34.27670012440086;769.0;111989.67007425343;0.20969712883988748;15.72463342966763;-10.069968763551682;0.04962829892866681;SimpleStrategy;JPM;1D;11.989670074253432
31.38075685862462;4053.0;119908.85029080516;;;;0.13065315491050677;SimpleStrategy;JPM;1H;19.90885029080516
27.31439452870036;359.0;221365.0863530277;1.4715613462386283;22.74635793808871;-10.74088479627395;0.23190267128887188;SimpleStrategy;AMZN;1D;121.36508635302769
16.108903122441838;1744.0;153083.4117323116;;;;0.32324903250191456;SimpleStrategy;AMZN;1H;53.083411732311596
15.441368468925074;8122.0;117710.80946203714;;;;0.39709865601509386;SimpleStrategy;AMZN;15m;17.710809462037144
15.622336860752315;12764.0;105172.4634911929;;;;0.16554374278094505;SimpleStrategy;AMZN;5m;5.172463491192903
12.008779456686073;215.0;143707.75077015217;0.6715028570447072;9.371831532787297;-5.510534135664863;0.20421881482547172;SimpleStrategy;PG;1D;43.70775077015217
17.302625128073863;2547.0;97125.63679151614;;;;-0.051996539377860716;SimpleStrategy;PG;1H;-2.874363208483861
36.82234084748907;605.0;122243.31682744689;0.37193198665628113;15.001022498959182;-8.60972555249478;0.0824578508404928;SimpleStrategy;LUV;1D;22.243316827446893
42.04968310144141;5627.0;83950.80000254538;;;;-0.02924666630657566;SimpleStrategy;LUV;1H;-16.049199997454622
18.930463611111502;3485.0;142069.26129237094;;;;0.33899042357791015;SimpleStrategy;LUV;15m;42.06926129237094
38.44479204366107;255.0;497161.97627930366;2.9698994352198267;19.590312859343506;-19.947175376502265;0.38093903018024583;BuyAndHold_1;AAPL;1D;397.16197627930364
29.829218368038497;1563.0;199745.03955684399;;;;0.6256595712605351;BuyAndHold_1;MSFT;1H;99.74503955684399
15.955895874074614;6052.0;129896.03043931;;;;0.488617464771388;BuyAndHold_1;MSFT;15m;29.896030439309996
9.435951610160553;7631.0;117908.28565568799;;;;0.8085428447759915;BuyAndHold_1;MSFT;5m;17.908285655687983
