,open,high,low,close,volume
2012-12-04,6.81600,6.96000,6.71000,6.78000,6316500
2012-12-05,6.76400,6.83800,6.71600,6.74200,3307500
2012-12-06,6.76400,6.96000,6.70000,6.78000,3302000
2012-12-07,6.86000,6.89800,6.77000,6.83400,3322000
2012-12-10,6.88600,6.96000,6.83600,6.91400,4649000
2012-12-11,6.92000,7.10000,6.89200,7.05600,7863000
2012-12-12,7.04200,7.16000,6.99000,7.05200,10319000
2012-12-13,7.05200,7.06000,6.55000,6.72200,10756500
2012-12-14,6.75600,6.88000,6.71800,6.76200,5115000
2012-12-17,6.75400,6.90000,6.75000,6.88000,4124500
2012-12-18,6.85200,7.01400,6.85200,6.91800,7769500
2012-12-19,6.95000,7.05200,6.90400,6.92200,6494000
2012-12-20,6.90200,6.95800,6.81000,6.88600,4606000
2012-12-21,6.78800,6.83400,6.71600,6.80000,7462000
2012-12-24,6.72800,6.87000,6.71000,6.85600,1879000
2012-12-26,6.79200,6.90000,6.70000,6.71800,3007000
2012-12-27,6.70000,6.78200,6.60000,6.73800,2805500
2012-12-28,6.67600,6.73000,6.60400,6.64400,2070500
2012-12-31,6.60000,6.79400,6.60000,6.77400,2974500
2013-01-02,7.00000,7.09000,6.94200,7.07200,5974000
2013-01-03,7.03600,7.09000,6.95000,6.95400,3710000
2013-01-04,6.96000,6.96000,6.78400,6.88000,3370000
2013-01-07,6.96000,6.96000,6.78000,6.86800,2210000
2013-01-08,6.90000,6.90000,6.62200,6.73600,6420000
2013-01-09,6.80200,6.83800,6.68000,6.72800,3490000
2013-01-10,6.77400,6.79800,6.67600,6.70600,4612500
2013-01-11,6.80800,6.80800,6.42200,6.58200,7816000
2013-01-14,6.61600,6.67600,6.57000,6.65200,4625500
2013-01-15,6.62200,6.85000,6.61600,6.78000,8121000
2013-01-16,6.77000,6.84600,6.74600,6.82000,6891000
2013-01-17,6.83200,6.97000,6.78400,6.87600,7183500
2013-01-18,6.94800,6.95600,6.76400,6.90400,17775500
2013-01-22,6.91200,7.11000,6.85200,7.03800,9601000
2013-01-23,7.00400,7.24800,6.99200,7.20000,7821500
2013-01-24,7.20000,7.54400,7.16800,7.39800,9852000
2013-01-25,7.40000,7.50800,7.36000,7.39600,6439000
2013-01-28,7.37200,7.74200,7.37200,7.60600,9930000
2013-01-29,7.62000,7.68800,7.42600,7.59000,7133000
2013-01-30,7.57000,7.60000,7.48600,7.50400,4840500
2013-01-31,7.57400,7.57400,7.38600,7.50200,4507000
2013-02-01,7.63400,7.70000,7.52400,7.66000,5503000
2013-02-04,7.68000,7.68400,7.51800,7.54800,5640000
2013-02-05,7.60000,7.73000,7.53600,7.62600,6551000
2013-02-06,7.63600,7.87800,7.58000,7.83400,9466000
2013-02-07,7.83800,7.93600,7.79000,7.89600,5983000
2013-02-08,7.89000,8.00000,7.82800,7.84800,5699000
2013-02-11,7.59600,7.83000,7.50000,7.68400,16331500
2013-02-12,7.69000,7.77400,7.45800,7.57800,11306500
2013-02-13,7.66000,7.80000,7.61000,7.69000,4834000
2013-02-14,7.72800,7.75000,7.64200,7.65400,4953500
2013-02-15,7.70000,7.70200,7.39000,7.40800,10088000
2013-02-19,7.47200,7.85800,7.46200,7.85600,13507000
2013-02-20,7.86000,7.93000,7.69200,7.70800,15610000
2013-02-21,7.29800,7.47800,6.90800,7.03200,45189000
2013-02-22,7.14400,7.27800,7.12000,7.22200,12736500
2013-02-25,7.23000,7.35000,6.86800,6.87600,14447000
2013-02-26,6.89200,6.99200,6.76000,6.88600,13814500
2013-02-27,6.88200,7.08200,6.88000,7.02000,9796000
2013-02-28,7.17800,7.22000,6.87400,6.96600,9824500
2013-03-01,7.00000,7.01600,6.85000,6.93000,7733000
