timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,coef,adj_open,adj_high,adj_low
1999-11-01,80.0,80.69,77.37,77.62,0.595871970054,2487300,0.0,1.0,130.26288179483555,0.614142715850554,0.6194396967747651,0.5939527740669671
1999-11-02,78.0,81.69,77.31,80.25,0.616061911838,3564600,0.0,1.0,130.26288179474824,0.5987891479546915,0.6271164807233174,0.593492167030477
1999-11-03,81.62,83.25,81.0,81.5,0.625657891773,2932700,0.0,1.0,130.2628817947839,0.6265791058467762,0.6390922636822362,0.6218194997989325
1999-11-04,82.06,85.37,80.62,83.62,0.641932673743,3384700,0.0,1.0,130.26288179479326,0.6299568907839104,0.6553670456522352,0.6189023218985968
1999-11-05,84.62,88.37,84.0,88.31,0.67793679046,3721500,0.0,1.0,130.2628817947453,0.6496094576913736,0.6783973974968882,0.6448498516435285
1999-11-08,87.75,97.73,86.75,96.37,0.739811669082,8490400,0.0,1.0,130.26288179474287,0.6736377914490558,0.750252095251467,0.6659610075009184
1999-11-09,94.37,94.5,88.0,89.62,0.687993377432,7224800,0.0,1.0,130.26288179475665,0.7244581011856487,0.7254560830989064,0.6755569874360187
1999-11-10,88.25,93.25,88.12,91.44,0.701965124217,5159800,0.0,1.0,130.26288179486957,0.6774761834224655,0.7158601031631151,0.6764782015092087
1999-11-11,91.59,92.62,89.87,92.25,0.708183319215,2409600,0.0,1.0,130.26288179486684,0.7031166418092342,0.7110237292758081,0.6899125734184505
1999-11-12,91.94,92.0,87.37,90.62,0.69567016138,2491600,0.0,1.0,130.2628817947822,0.7058035161915382,0.7062641232284264,0.670720613548561
1999-11-15,89.62,92.87,88.5,89.44,0.686611556321,2320600,0.0,1.0,130.26288179482026,0.687993377431664,0.7129429252630957,0.6793953794097551
1999-11-16,90.0,91.75,88.5,91.19,0.70004592823,2088000,0.0,1.0,130.26288179486352,0.690910555331725,0.704344927240953,0.6793953794095295
1999-11-17,90.69,94.75,90.0,90.25,0.692829751319,3255100,0.0,1.0,130.26288179481793,0.6962075362561785,0.7273752790855984,0.6909105553319668
1999-11-18,91.06,91.12,88.44,89.62,0.687993377432,3257000,0.0,1.0,130.26288179475665,0.6990479463173166,0.6995085533542048,0.6789347723731987
1999-11-19,89.5,92.87,88.06,92.44,0.709641908165,2790300,0.0,1.0,130.26288179489342,0.6870721633575021,0.7129429252626953,0.6760175944721971
1999-11-22,91.75,91.75,89.25,90.62,0.69567016138,1806800,0.0,1.0,130.2628817947822,0.7043449272413926,0.7043449272413926,0.6851529673710549
1999-11-23,91.75,95.25,88.5,92.81,0.712482318226,4851000,0.0,1.0,130.26288179485823,0.7043449272409815,0.7312136710594386,0.6793953794095571
1999-11-24,93.0,95.0,91.69,94.69,0.726914672049,1920600,0.0,1.0,130.26288179476603,0.7139409071766502,0.7292944750729221,0.7038843202045919
1999-11-26,94.75,95.5,94.12,95.06,0.729755082109,1179200,0.0,1.0,130.26288179491067,0.7273752790850805,0.7331328670461761,0.7225389051977602
1999-11-29,94.25,99.75,93.25,94.56,0.725916690135,4144300,0.0,1.0,130.26288179489924,0.7235368871110802,0.7657591988257851,0.715860103162952
