dd_max,dd_maxlength,roi_monthly_average,roi_monthly_max,roi_monthly_min,sharpe,strategy,ticker,timeframe,total_return
0.0,0.0,0.0,0.0,0.0,,SimpleStrategy,BTC,1D,0.0
0.0,0.0,0.0,0.0,0.0,,SimpleStrategy,ETH,1D,0.0
0.0,0.0,0.0,0.0,0.0,,BuyAndHold_1,BTC,1D,0.0
0.0,0.0,0.0,0.0,0.0,,BuyAndHold_1,ETH,1D,0.0
