,open,high,low,close
2021-06-19 16:00:00,2220.77002,2228.33008,2208.03003,2208.03003
2021-06-19 18:00:00,2206.70996,2206.70996,2165.01001,2166.82007
2021-06-19 20:00:00,2166.56006,2185.28003,2146.91992,2181.90991
2021-06-19 22:00:00,2180.50000,2192.76001,2156.35010,2182.58008
2021-06-20 00:00:00,2182.17993,2217.84009,2180.02002,2213.50000
2021-06-20 02:00:00,2212.95996,2213.39990,2187.39990,2202.41992
2021-06-20 04:00:00,2205.23999,2209.73999,2163.75000,2165.87012
2021-06-20 06:00:00,2166.02002,2168.21997,2064.86011,2076.05005
2021-06-20 08:00:00,2070.96997,2099.73999,2046.38000,2081.12988
2021-06-20 10:00:00,2079.30005,2124.91992,2070.89990,2113.33008
2021-06-20 12:00:00,2107.78003,2138.06006,2105.13989,2131.48999
2021-06-20 14:00:00,2138.54004,2234.98999,2132.35010,2218.77002
2021-06-20 16:00:00,2228.66992,2276.73999,2216.59009,2251.51001
2021-06-20 18:00:00,2255.29004,2261.17993,2232.90991,2243.92993
2021-06-20 20:00:00,2255.00000,2257.37012,2201.54004,2203.83008
2021-06-20 22:00:00,2208.97998,2217.16992,2155.71997,2155.71997
2021-06-21 00:00:00,2158.13989,2158.13989,2069.59009,2128.37012
2021-06-21 02:00:00,2127.03003,2145.98999,1992.29004,2013.98999
2021-06-21 04:00:00,2006.93994,2037.34998,1952.84998,2010.88000
2021-06-21 06:00:00,2008.35999,2011.39001,1893.29004,1967.54004
2021-06-21 08:00:00,1973.96997,2011.43994,1919.48999,2011.43994
2021-06-21 10:00:00,2011.70996,2018.07996,1967.37000,1985.84998
2021-06-21 12:00:00,1977.28003,1998.67004,1912.77002,1919.75000
2021-06-21 14:00:00,1919.53003,1966.48999,1919.53003,1948.00000
2021-06-21 16:00:00,1944.12000,1954.98999,1874.39001,1874.39001
2021-06-21 18:00:00,1889.80005,1929.29004,1866.18005,1891.79004
2021-06-21 20:00:00,1895.94995,1983.56006,1862.18005,1957.90002
2021-06-21 22:00:00,1960.53003,1992.51001,1937.69995,1976.34998
2021-06-22 00:00:00,1977.14001,1977.14001,1928.31006,1939.46997
2021-06-22 02:00:00,1939.16003,1955.59998,1930.01001,1941.00000
2021-06-22 04:00:00,1942.83997,1942.83997,1862.20996,1877.18005
2021-06-22 06:00:00,1880.17004,1919.45996,1861.73999,1864.00000
2021-06-22 08:00:00,1869.55005,1869.55005,1704.62000,1726.14001
2021-06-22 10:00:00,1733.98999,1883.89001,1715.00000,1861.79004
2021-06-22 12:00:00,1869.72998,1927.68994,1869.72998,1905.20996
